Filtered League List (Excluding Cups, Women's, and Youth Leagues):
ID: 88, Name: Goiano 1, Country: Brazil
ID: 89, Name: Matogrossense 1, Country: Brazil
ID: 90, Name: Tocantinense, Country: Brazil
ID: 92, Name: Rondoniense, Country: Brazil
ID: 93, Name: Alagoano 1, Country: Brazil
ID: 94, Name: Baiano 2, Country: Brazil
ID: 95, Name: Baiano 1, Country: Brazil
ID: 96, Name: Paulista A3, Country: Brazil
ID: 97, Name: Paraibano 1, Country: Brazil
ID: 98, Name: Catarinense 1, Country: Brazil
ID: 100, Name: Paranaense 1, Country: Brazil
ID: 101, Name: Roraimense, Country: Brazil
ID: 102, Name: Gaúcho 1, Country: Brazil
ID: 103, Name: Maranhense 1, Country: Brazil
ID: 104, Name: Cearense 1, Country: Brazil
ID: 105, Name: Brasiliense A, Country: Brazil
ID: 106, Name: Paulista A1, Country: Brazil
ID: 107, Name: Amapaense, Country: Brazil
ID: 108, Name: Capixaba A, Country: Brazil
ID: 109, Name: Second League, Country: Bulgaria
ID: 110, Name: Third League, Country: Bulgaria
ID: 112, Name: Elite One, Country: Cameroon
ID: 113, Name: Canadian Soccer League, Country: Canada
ID: 114, Name: PCSL, Country: Canada
ID: 116, Name: Primera B, Country: Chile
ID: 117, Name: Chinese Football League 1, Country: China
ID: 119, Name: Taiwan Football Premier League, Country: Chinese Taipei
ID: 122, Name: Liga de Ascenso, Country: Costa Rica
ID: 123, Name: Ligue 1, Country: Ivory Coast
ID: 126, Name: Third NL, Country: Croatia
ID: 128, Name: 3. Division, Country: Cyprus
ID: 129, Name: 2. Division, Country: Cyprus
ID: 131, Name: 3. liga, Country: Czech Republic
ID: 132, Name: 4. liga, Country: Czech Republic
ID: 133, Name: FNL, Country: Czech Republic
ID: 136, Name: 2. Division, Country: Denmark
ID: 137, Name: Denmark Series, Country: Denmark
ID: 138, Name: 1. Division, Country: Denmark
ID: 139, Name: Liga Pro Serie B, Country: Ecuador
ID: 142, Name: Primera Division, Country: El Salvador
ID: 143, Name: Non League Div One, Country: England
ID: 149, Name: Non League Premier, Country: England
ID: 150, Name: National League N / S, Country: England
ID: 151, Name: National League, Country: England
ID: 156, Name: Premium liiga, Country: Estonia
ID: 157, Name: Meistaradeildin, Country: Faroe Islands
ID: 158, Name: 1. Deild, Country: Faroe Islands
ID: 159, Name: National Football League, Country: Fiji
ID: 160, Name: Kakkonen, Country: Finland
ID: 162, Name: National 3, Country: France
ID: 163, Name: National 2, Country: France
ID: 167, Name: National 1, Country: France
ID: 169, Name: Erovnuli Liga 2, Country: Georgia
ID: 170, Name: Erovnuli Liga, Country: Georgia
ID: 173, Name: Regionalliga, Country: Germany
ID: 174, Name: Oberliga, Country: Germany
ID: 176, Name: 3. Liga, Country: Germany
ID: 177, Name: Premier League, Country: Ghana
ID: 180, Name: Gamma Ethniki, Country: Greece
ID: 181, Name: Football League, Country: Greece
ID: 182, Name: Liga Nacional, Country: Guatemala
ID: 183, Name: Primera Division, Country: Guatemala
ID: 184, Name: Ligue Haïtienne, Country: Haiti
ID: 185, Name: Liga Nacional, Country: Honduras
ID: 186, Name: Premier League, Country: Hong Kong
ID: 187, Name: HKFA 1st Division, Country: Hong Kong
ID: 188, Name: NB II, Country: Hungary
ID: 189, Name: Magyar Kupa, Country: Hungary
ID: 190, Name: NB III, Country: Hungary
ID: 192, Name: Besta deild, Country: Iceland
ID: 196, Name: Azadegan League, Country: Iran
ID: 198, Name: First Division, Country: Ireland
ID: 200, Name: Premier Division, Country: Ireland
ID: 201, Name: Liga Leumit, Country: Israel
ID: 204, Name: Serie D, Country: Italy
ID: 208, Name: Premier League, Country: Jamaica
ID: 211, Name: Japan Football League, Country: Japan
ID: 212, Name: J2 League, Country: Japan
ID: 213, Name: League, Country: Jordan
ID: 215, Name: 1. Division, Country: Kazakhstan
ID: 216, Name: FKF Premier League, Country: Kenya
ID: 217, Name: K3 League, Country: Korea Republic
ID: 218, Name: K League 2, Country: Korea Republic
ID: 220, Name: Premier League, Country: Kuwait
ID: 221, Name: Division 1, Country: Kuwait
ID: 222, Name: 1. Liga, Country: Latvia
ID: 223, Name: Virsliga, Country: Latvia
ID: 224, Name: Premier League, Country: Lebanon
ID: 225, Name: Premier League, Country: Libya
ID: 226, Name: 1 Lyga, Country: Lithuania
